HairLoss,Duration,Shedding,Dandruff,Type,ItchyScalp,HairGreying,Treatment,RegularUsage,Products
Yes,More than 6 months, Frequently,Yes, Flaky, Frequently,Yes, Keratin treatment, No,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Argan oil"
Yes,3 to 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Rarely,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Biotin gummies, Ketoconzole anti dandruff shampoo, Pure black sesame oil"
Yes,3 to 6 months, Frequently,Yes, Powdery, Frequently,No,No,No,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo"
No,No,No,Yes, Flaky, Rarely or never,No,No,No,T/Gel Therapeutic Shampoo
No,No,No,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Rarely,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, Tea tree oil & shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Colour or henna, Yes,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Frequently,Yes, Flaky, Frequently,No,No,No,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo"
Yes,Less than 3 months, Rarely, No, No, No, No, No, No,Rosemarry oil & shampoo
Yes,3 to 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,More than 6 months, Rarely,Yes, Flaky, Frequently,No,No,No,"Biotin gummies, Ketoconzole anti dandruff shampoo"
Yes,3 to 6 months, Rarely,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, Tea tree oil & shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Rarely,Yes, Flaky, Frequently,No,No,No,"Biotin gummies, Ketoconzole anti dandruff shampoo"
Yes,Less than 3 months, Frequently, No, No, No, No, No, No,Biotin gummies
Yes,More than 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Colour or henna, No,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo, Pure black sesame oil"
Yes,Less than 3 months, Rarely, No, No, No, No, No, No,Rosemarry oil & shampoo
Yes,Less than 3 months, Frequently, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Occasionally, No, No, No,Yes, Keratin treatment, Yes,"Biotin gummies, Keratin smooth deep mask"
Yes,Less than 3 months, Occasionally, No, No, No, No, No, No,Rosemarry oil & shampoo
No,No,No,Yes, Flaky, Rarely or never,No,No,No,T/Gel Therapeutic Shampoo
No,No,No,Yes, Flaky, Rarely or never,Yes, Keratin treatment, No,"T/Gel Therapeutic Shampoo, Argan oil"
Yes,3 to 6 months, Occasionally,Yes, Powdery, Rarely or never,Yes, Colour or henna, Yes,"Biotin gummies, Tea tree oil & shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Occasionally,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Biotin gummies, Ketoconzole anti dandruff shampoo, Pure black sesame oil"
Yes,More than 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,3 to 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
